1560997291780,21.00,60.00
1560997296765,21.00,60.00
1560997301768,21.00,60.00
1560997306775,21.00,60.00
Wed Jun 19 2019 20:30:59 GMT-0600 (Mountain Daylight Time),8:30:59 PM,21.00,60.00
Wed Jun 19 2019 20:31:04 GMT-0600 (Mountain Daylight Time),8:31:04 PM,21.00,60.00
Wed Jun 19 2019 20:31:09 GMT-0600 (Mountain Daylight Time),8:31:09 PM,21.00,60.00
6/19/2019,8:34:47 PM,21.00,60.00
6/19/2019,8:34:52 PM,21.00,60.00
1561001746979,6/19/2019,9:35:46 PM,21.00,60.00
1561173869012,6/21/2019,9:24:29 PM,21.00,60.00
1561173879004,6/21/2019,9:24:39 PM,21.00,60.00
1561173889012,6/21/2019,9:24:49 PM,21.00,60.00
1561173899023,6/21/2019,9:24:59 PM,21.00,60.00
1561173909034,6/21/2019,9:25:09 PM,21.00,60.00
1561173919045,6/21/2019,9:25:19 PM,21.00,60.00
1561173929055,6/21/2019,9:25:29 PM,21.00,60.00
1561173939065,6/21/2019,9:25:39 PM,21.00,60.00
1561173949075,6/21/2019,9:25:49 PM,21.00,60.00
1561173959086,6/21/2019,9:25:59 PM,21.00,60.00
1561173969096,6/21/2019,9:26:09 PM,21.00,60.00
1561174105057,6/21/2019,9:28:25 PM,21.00,60.00
1561174115050,6/21/2019,9:28:35 PM,21.00,60.00
1561174429526,6/21/2019,9:33:49 PM,21.00,60.00
1561174439502,6/21/2019,9:33:59 PM,21.00,60.00
1561175145177,6/21/2019,9:45:45 PM,21.00,60.00
1561175155168,6/21/2019,9:45:55 PM,21.00,60.00
1561175199064,6/21/2019,9:46:39 PM,21.00,60.00
1561175209056,6/21/2019,9:46:49 PM,21.00,60.00
1561175219064,6/21/2019,9:46:59 PM,21.00,60.00
1561175229074,6/21/2019,9:47:09 PM,21.00,60.00
1561175239084,6/21/2019,9:47:19 PM,21.00,60.00
1561175249094,6/21/2019,9:47:29 PM,21.00,60.00
1561175259104,6/21/2019,9:47:39 PM,21.00,60.00
1561175269114,6/21/2019,9:47:49 PM,21.00,60.00
1561175279124,6/21/2019,9:47:59 PM,21.00,60.00
1561175289135,6/21/2019,9:48:09 PM,21.00,60.00
1561175299145,6/21/2019,9:48:19 PM,21.00,60.00
1561175309155,6/21/2019,9:48:29 PM,21.00,60.00
1561175319166,6/21/2019,9:48:39 PM,21.00,60.00
1561175329176,6/21/2019,9:48:49 PM,21.00,60.00
1561175339186,6/21/2019,9:48:59 PM,21.00,60.00
1561175349196,6/21/2019,9:49:09 PM,21.00,60.00
1561175359207,6/21/2019,9:49:19 PM,21.00,60.00
1561175369217,6/21/2019,9:49:29 PM,21.00,60.00
1561175379227,6/21/2019,9:49:39 PM,21.00,60.00
1561175389237,6/21/2019,9:49:49 PM,21.00,60.00
1561175399248,6/21/2019,9:49:59 PM,21.00,60.00
1561175409258,6/21/2019,9:50:09 PM,21.00,60.00
1561175419268,6/21/2019,9:50:19 PM,21.00,60.00
1561175429278,6/21/2019,9:50:29 PM,21.00,60.00
1561175439289,6/21/2019,9:50:39 PM,21.00,60.00
1561175449300,6/21/2019,9:50:49 PM,21.00,60.00
1561175459310,6/21/2019,9:50:59 PM,21.00,60.00
1561175469321,6/21/2019,9:51:09 PM,21.00,60.00
1561175479331,6/21/2019,9:51:19 PM,21.00,60.00
1561175489341,6/21/2019,9:51:29 PM,21.00,60.00
1561175499352,6/21/2019,9:51:39 PM,21.00,60.00
1561175509363,6/21/2019,9:51:49 PM,21.00,60.00
1561175519372,6/21/2019,9:51:59 PM,21.00,60.00
1561175529382,6/21/2019,9:52:09 PM,21.00,60.00
1561175539392,6/21/2019,9:52:19 PM,21.00,60.00
1561175549403,6/21/2019,9:52:29 PM,21.00,60.00
1561175559413,6/21/2019,9:52:39 PM,21.00,60.00
1561175569423,6/21/2019,9:52:49 PM,21.00,60.00
1561175579433,6/21/2019,9:52:59 PM,21.00,60.00
1561175589443,6/21/2019,9:53:09 PM,21.00,60.00
1561175599454,6/21/2019,9:53:19 PM,21.00,60.00
1561175609463,6/21/2019,9:53:29 PM,21.00,60.00
1561175619473,6/21/2019,9:53:39 PM,21.00,60.00
1561175629483,6/21/2019,9:53:49 PM,21.00,60.00
1561175639494,6/21/2019,9:53:59 PM,21.00,60.00
1561175649505,6/21/2019,9:54:09 PM,21.00,60.00
1561175659514,6/21/2019,9:54:19 PM,21.00,60.00
1561175669524,6/21/2019,9:54:29 PM,21.00,60.00
1561175679535,6/21/2019,9:54:39 PM,21.00,60.00
1561175689545,6/21/2019,9:54:49 PM,21.00,60.00
1561175699555,6/21/2019,9:54:59 PM,21.00,60.00
